slug,name,entity_type,status,country,city,latitude,longitude,last_verified,primary_source_count,primary_source_urls,meta_description
abu-dhabi-aviation,Abu Dhabi Aviation,operator,operational,UAE,Abu Dhabi,24.4332,54.6511,2026-05-20,3,https://investors.archer.com/news/news-details/2025/Archers-Midnight-Showcases-In-Country-eVTOL-Flight-Test-Campaign-in-UAE-as-Part-of-Its-Commercial-Launch-Edition-Program/default.aspx | https://investors.archer.com/news/news-details/2025/Archer-Secures-Design-Approval-For-UAEs-First-Hybrid-Heliport-Paving-The-Way-For-Commercial-Air-Taxi-Service-In-Abu-Dhabi/default.aspx | https://www.thenationalnews.com/business/aviation/2025/11/11/abu-dhabi-to-build-10-vertiports-for-air-taxis/,Abu Dhabi Aviation (ADA) is the named eVTOL operating partner under Archer Aviation's UAE Launch Edition definitive agreement. Group CEO Mahmood Al Hameli. First Launch Edition payments flowing Nov 2025.
abu-dhabi-cruise-terminal-vertiport,Abu Dhabi Cruise Terminal Hybrid Heliport,vertiport,design_approved,UAE,Abu Dhabi,24.5111,54.376,2026-05-20,3,https://investors.archer.com/news/news-details/2025/Archer-Secures-Design-Approval-For-UAEs-First-Hybrid-Heliport-Paving-The-Way-For-Commercial-Air-Taxi-Service-In-Abu-Dhabi/default.aspx | https://www.thenationalnews.com/business/aviation/2025/11/11/abu-dhabi-to-build-10-vertiports-for-air-taxis/ | https://www.thenationalnews.com/business/aviation/2025/11/03/uae-air-taxi-certification-to-be-completed-by-third-quarter-of-next-year-regulator-says/,"GCAA design approval announced 23 April 2025. UAE's first hybrid heliport, converting an existing helipad to dual heliport/vertiport use. Partnership between Archer Aviation, Falcon Aviation Services, and Abu Dhabi Aviation."
abu-dhabi-dmt,Abu Dhabi Department of Municipalities and Transport (DMT),regulator,operational,UAE,Abu Dhabi,24.4539,54.3773,2026-04-30,5,https://www.dmt.gov.ae/en | https://www.dmt.gov.ae/en/adm | https://www.dmt.gov.ae/en/Media-Centre/News/Accelerates-Smart-Transport | https://investors.archer.com/news/news-details/2024/Abu-Dhabi-and-Archer-Announce-Agreement-With-Cross-Industry-Stakeholders-To-Launch-First-Commercial-Electric-Air-Taxi-Flights/default.aspx | https://www.openstreetmap.org/?mlat=24.4539&mlon=54.3773,"Abu Dhabi DMT, established by Law No. 30 of 2019, oversees urban planning and transport in the emirate via affiliates including Abu Dhabi Mobility (ITC)."
abu-dhabi-network-route-1,Abu Dhabi Network — Route 1 (Abu Dhabi ↔ Dubai),route,announced,UAE,Abu Dhabi,24.7136,54.7531,2026-05-01,4,https://investors.archer.com/news/news-details/2024/Archer-and-Falcon-Aviation-to-Jointly-Develop-Vertiport-Network-in-Dubai-and-Abu-Dhabi-for-the-Launch-of-Flying-Car-Operations-in-UAE-as-Soon-as-2025/ | https://www.falconaviation.ae/2024/03/12/archer-aviation-and-falcon-aviation-are-to-jointly-develop-a-vertiport-network-in-dubai-and-abu-dhabi | https://investors.archer.com/news/news-details/2025/Archers-Midnight-Showcases-In-Country-eVTOL-Flight-Test-Campaign-in-UAE-as-Part-of-Its-Commercial-Launch-Edition-Program/default.aspx | https://investors.archer.com/news/news-details/2025/Cleveland-Clinic-Abu-Dhabi-Unveils-Plans-for-UAEs-First-Hospital-Based-Vertiport-in-Partnership-With-Archer-Aviation/default.aspx,"Archer Aviation and Falcon Aviation plan Abu Dhabi to Dubai eVTOL route: Marina Mall heliport (Corniche) to Falcon Heliport at Atlantis the Palm, ~30 minutes."
abu-dhabi-network-route-2,Abu Dhabi Network — Route 2,route,announced,UAE,Abu Dhabi,,,2026-04-30,3,https://www.zawya.com/en/press-release/companies-news/abu-dhabi-investment-office-announces-launch-of-vertiport-network-to-activate-air-taxi-operations-qrwifajq | https://investors.archer.com/news/news-details/2024/Abu-Dhabi-and-Archer-Announce-Agreement-With-Cross-Industry-Stakeholders-To-Launch-First-Commercial-Electric-Air-Taxi-Flights/default.aspx | https://www.investors.archer.com/news/news-details/2025/Archer-Unveils-Midnight-Launch-Edition-Commercialization-Program-with-Abu-Dhabi-Aviation-ADA-As-First-Customer-Planning-to-Deploy-Midnight-This-Year/default.aspx,Abu Dhabi Network Route 2 is the second corridor in the emirate 10+ vertiport plan. Endpoints not yet published; AUH and AZI confirmed as first anchors.
adio-abu-dhabi,Abu Dhabi Investment Office (ADIO),regulator,operational,UAE,Abu Dhabi,24.4674,54.3667,2026-05-20,3,https://investors.archer.com/news/news-details/2025/Archers-Midnight-Showcases-In-Country-eVTOL-Flight-Test-Campaign-in-UAE-as-Part-of-Its-Commercial-Launch-Edition-Program/default.aspx | https://www.thenationalnews.com/business/aviation/2025/11/11/abu-dhabi-to-build-10-vertiports-for-air-taxis/ | https://investors.archer.com/news/news-details/2025/Archer-Secures-Design-Approval-For-UAEs-First-Hybrid-Heliport-Paving-The-Way-For-Commercial-Air-Taxi-Service-In-Abu-Dhabi/default.aspx,The Abu Dhabi Investment Office (ADIO) is the strategic government counterparty for Archer Aviation's UAE Launch Edition. Director General Badr Al-Olama. Framework agreement signed 25 April 2024 at DRIFTx.
al-bateen-vertiport,Al Bateen Executive Airport (AZI) Vertiport,vertiport,under_construction,UAE,Abu Dhabi,24.4283,54.4581,2026-05-20,3,https://www.thenationalnews.com/business/aviation/2025/11/11/abu-dhabi-to-build-10-vertiports-for-air-taxis/ | https://investors.archer.com/news/news-details/2025/Archer-Secures-Design-Approval-For-UAEs-First-Hybrid-Heliport-Paving-The-Way-For-Commercial-Air-Taxi-Service-In-Abu-Dhabi/default.aspx | https://www.thenationalnews.com/business/aviation/2025/11/03/uae-air-taxi-certification-to-be-completed-by-third-quarter-of-next-year-regulator-says/,Al Bateen Executive Airport (AZI) Vertiport is under construction as the second foundational node of Abu Dhabi's 10-vertiport network. Site of Archer Midnight's first Abu Dhabi flight on 2 July 2025.
al-maktoum-international-vertiport,Al Maktoum International Airport Vertiport (DWC),vertiport,announced,UAE,Dubai,24.8967,55.1614,2026-05-01,3,https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://www.rta.ae/wps/portal/rta/ae/home/news-and-media/all-news/NewsDetails/successful-first-crewed-electric-aerial-taxi-flight,Al Maktoum International Airport (DWC) was the landing site of the UAE's first piloted eVTOL flight on 9 November 2025. A formal vertiport is not confirmed by primary sources.
american-university-of-dubai-vertiport,American University of Dubai Vertiport,vertiport,planned,UAE,Dubai,25.0985,55.1625,2026-05-01,5,https://ir.jobyaviation.com/news-events/press-releases/detail/87/joby-to-launch-air-taxi-service-in-uae | https://ir.jobyaviation.com/news-events/press-releases/detail/162/dubai-air-taxi-network-takes-flight-joby-completes | https://skyports.net/worlds-first-commercial-vertiport-dxv-reaches-topping-out-construction-milestone/ | https://skyports.net/worlds-first-commercial-vertiport-technical-completion/ | https://www.rta.ae/wps/portal/rta/ae/home/news-and-media/all-news/NewsDetails/successful-first-crewed-electric-aerial-taxi-flight,"American University of Dubai Vertiport, announced 17 November 2025 by Joby and the RTA. Wasl Asset Management Group is the property partner. Launching 2026."
archer-aviation-abu-dhabi,Archer Aviation — Abu Dhabi,operator,announced,UAE,Abu Dhabi,24.4539,54.3773,2026-05-01,8,https://news.archer.com/archer--abu-dhabi-investment-office-announce-plan-to-launch-archers-all-electric-air-taxi-service-across-the-uae | https://investors.archer.com/news/news-details/2024/Archer-Signs-Framework-Agreement-For-Multi-Hundred-Million-Dollars-To-Accelerate-Commercial-Air-Taxi-Operations-Across-UAE/ | https://news.archer.com/archer-and-falcon-aviation-to-jointly-develop-vertiport-network-in-dubai-and-abu-dhabi-for-the-launch-of-flying-car-operations-in-uae-as-soon-as-2025 | https://investors.archer.com/news/news-details/2024/Abu-Dhabi-and-Archer-Announce-Agreement-With-Cross-Industry-Stakeholders-To-Launch-First-Commercial-Electric-Air-Taxi-Flights/default.aspx | https://www.investors.archer.com/news/news-details/2025/Archer-Unveils-Midnight-Launch-Edition-Commercialization-Program-with-Abu-Dhabi-Aviation-ADA-As-First-Customer-Planning-to-Deploy-Midnight-This-Year/default.aspx | https://news.archer.com/archer-begins-test-flights-in-abu-dhabi | https://investors.archer.com/news/news-details/2025/Cleveland-Clinic-Abu-Dhabi-Unveils-Plans-for-UAEs-First-Hospital-Based-Vertiport-in-Partnership-With-Archer-Aviation/default.aspx | https://investors.archer.com/news/news-details/2025/Archers-Midnight-Showcases-In-Country-eVTOL-Flight-Test-Campaign-in-UAE-as-Part-of-Its-Commercial-Launch-Edition-Program/default.aspx,"Archer Aviation's Abu Dhabi launch programme: Midnight eVTOL, ADIO and Abu Dhabi Aviation partnership, vertiport network, GCAA certification status."
